;Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PerformanceRating;RelationshipSatisfaction;TotalWorkingYears;TrainingTimesLastYear;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
0;41;Yes;Travel_Rarely;Sales;1;2;Life Sciences;2;Female;3;Sales Executive;4;Single;5993;8;Yes;3;1;8;0;6;4;0;5
1;49;No;Travel_Frequently;Research & Development;8;1;Life Sciences;3;Male;2;Research Scientist;2;Married;5130;1;No;4;4;10;3;10;7;1;7
2;37;Yes;Travel_Rarely;Research & Development;2;2;Other;4;Male;2;Laboratory Technician;3;Single;2090;6;Yes;3;2;7;3;0;0;0;0
3;33;No;Travel_Frequently;Research & Development;3;4;Life Sciences;4;Female;3;Research Scientist;3;Married;2909;1;Yes;3;3;8;3;8;7;3;0
4;27;No;Travel_Rarely;Research & Development;2;1;Medical;1;Male;3;Laboratory Technician;2;Married;3468;9;No;3;4;6;3;2;2;2;2
5;32;No;Travel_Frequently;Research & Development;2;2;Life Sciences;4;Male;3;Laboratory Technician;4;Single;3068;0;No;3;3;8;2;7;7;3;6
6;59;No;Travel_Rarely;Research & Development;3;3;Medical;3;Female;4;Laboratory Technician;1;Married;2670;4;Yes;4;1;12;3;1;0;0;0
7;30;No;Travel_Rarely;Research & Development;24;1;Life Sciences;4;Male;3;Laboratory Technician;3;Divorced;2693;1;No;4;2;1;2;1;0;0;0
8;38;No;Travel_Frequently;Research & Development;23;3;Life Sciences;4;Male;2;Manufacturing Director;3;Single;9526;0;No;4;2;10;2;9;7;1;8
9;36;No;Travel_Rarely;Research & Development;27;3;Medical;3;Male;3;Healthcare Representative;3;Married;5237;6;No;3;2;17;3;7;7;7;7
10;35;No;Travel_Rarely;Research & Development;16;3;Medical;1;Male;4;Laboratory Technician;2;Married;2426;0;No;3;3;6;5;5;4;0;3
11;29;No;Travel_Rarely;Research & Development;15;2;Life Sciences;4;Female;2;Laboratory Technician;3;Single;4193;0;Yes;3;4;10;3;9;5;0;8
12;31;No;Travel_Rarely;Research & Development;26;1;Life Sciences;1;Male;3;Research Scientist;3;Divorced;2911;1;No;3;4;5;1;5;2;4;3
13;34;No;Travel_Rarely;Research & Development;19;2;Medical;2;Male;3;Laboratory Technician;4;Divorced;2661;0;No;3;3;3;2;2;2;1;2
14;28;Yes;Travel_Rarely;Research & Development;24;3;Life Sciences;3;Male;2;Laboratory Technician;3;Single;2028;5;Yes;3;2;6;4;4;2;0;3
15;29;No;Travel_Rarely;Research & Development;21;4;Life Sciences;2;Female;4;Manufacturing Director;1;Divorced;9980;1;No;3;3;10;1;10;9;8;8
16;32;No;Travel_Rarely;Research & Development;5;2;Life Sciences;1;Male;4;Research Scientist;2;Divorced;3298;0;Yes;3;4;7;5;6;2;0;5
17;22;No;Non-Travel;Research & Development;16;2;Medical;4;Male;4;Laboratory Technician;4;Divorced;2935;1;Yes;3;2;1;2;1;0;0;0
18;53;No;Travel_Rarely;Sales;2;4;Life Sciences;1;Female;2;Manager;4;Married;15427;2;No;3;3;31;3;25;8;3;7
19;38;No;Travel_Rarely;Research & Development;2;3;Life Sciences;4;Male;3;Research Scientist;4;Single;3944;5;Yes;3;3;6;3;3;2;1;2
20;24;No;Non-Travel;Research & Development;11;2;Other;1;Female;4;Manufacturing Director;3;Divorced;4011;0;No;3;4;5;5;4;2;1;3
21;36;Yes;Travel_Rarely;Sales;9;4;Life Sciences;3;Male;2;Sales Representative;1;Single;3407;7;No;4;2;10;4;5;3;0;3
22;34;No;Travel_Rarely;Research & Development;7;4;Life Sciences;1;Female;3;Research Director;2;Single;11994;0;No;3;3;13;4;12;6;2;11
23;21;No;Travel_Rarely;Research & Development;15;2;Life Sciences;3;Male;3;Research Scientist;4;Single;1232;1;No;3;4;0;6;0;0;0;0
24;34;Yes;Travel_Rarely;Research & Development;6;1;Medical;2;Male;3;Research Scientist;1;Single;2960;2;No;3;3;8;2;4;2;1;3
25;53;No;Travel_Rarely;Research & Development;5;3;Other;3;Female;3;Manager;3;Divorced;19094;4;No;3;4;26;3;14;13;4;8
26;32;Yes;Travel_Frequently;Research & Development;16;1;Life Sciences;2;Female;1;Research Scientist;1;Single;3919;1;Yes;4;2;10;5;10;2;6;7
27;42;No;Travel_Rarely;Sales;8;4;Marketing;3;Male;3;Sales Executive;2;Married;6825;0;No;3;4;10;2;9;7;4;2
28;44;No;Travel_Rarely;Research & Development;7;4;Medical;1;Female;2;Healthcare Representative;4;Married;10248;3;No;3;4;24;4;22;6;5;17
29;46;No;Travel_Rarely;Sales;2;4;Marketing;2;Female;3;Manager;1;Single;18947;3;No;3;4;22;2;2;2;2;1
30;33;No;Travel_Rarely;Research & Development;2;3;Medical;3;Male;3;Laboratory Technician;4;Single;2496;4;No;3;4;7;3;1;1;0;0
31;44;No;Travel_Rarely;Research & Development;10;4;Other;4;Male;3;Healthcare Representative;4;Married;6465;2;Yes;3;4;9;5;4;2;1;3
32;30;No;Travel_Rarely;Research & Development;9;2;Medical;4;Male;2;Laboratory Technician;3;Single;2206;1;No;3;1;10;5;10;0;1;8
33;39;Yes;Travel_Rarely;Sales;5;3;Technical Degree;4;Male;3;Sales Representative;4;Married;2086;3;No;3;3;19;6;1;0;0;0
34;24;Yes;Travel_Rarely;Research & Development;1;3;Medical;2;Male;3;Research Scientist;4;Married;2293;2;Yes;3;1;6;2;2;0;2;0
35;43;No;Travel_Rarely;Research & Development;2;2;Medical;4;Female;4;Research Scientist;3;Divorced;2645;1;No;3;4;6;3;5;3;1;4
36;50;Yes;Travel_Rarely;Sales;3;2;Marketing;1;Male;2;Sales Representative;3;Married;2683;1;Yes;3;3;3;2;3;2;0;2
37;35;No;Travel_Rarely;Sales;2;3;Marketing;4;Female;3;Sales Representative;4;Married;2014;1;No;3;1;2;3;2;2;2;2
38;36;No;Travel_Rarely;Research & Development;5;4;Life Sciences;2;Female;2;Research Scientist;1;Married;3419;9;Yes;3;4;6;3;1;1;0;0
39;33;No;Travel_Frequently;Sales;1;3;Life Sciences;3;Female;4;Sales Executive;1;Married;5376;2;No;3;1;10;3;5;3;1;3
40;35;No;Travel_Rarely;Research & Development;4;2;Other;3;Male;3;Laboratory Technician;4;Divorced;1951;1;No;3;3;1;3;1;0;0;0
41;27;No;Travel_Rarely;Research & Development;2;4;Life Sciences;4;Female;3;Laboratory Technician;1;Divorced;2341;1;No;3;4;1;6;1;0;0;0
42;26;Yes;Travel_Rarely;Research & Development;25;3;Life Sciences;1;Male;1;Laboratory Technician;3;Single;2293;1;No;3;3;1;2;1;0;0;1
43;27;No;Travel_Frequently;Sales;8;3;Life Sciences;4;Male;3;Sales Executive;3;Single;8726;1;No;3;4;9;0;9;8;1;7
44;30;No;Travel_Frequently;Research & Development;1;2;Medical;3;Female;3;Laboratory Technician;4;Single;4011;1;No;4;4;12;2;12;8;3;7
45;41;Yes;Travel_Rarely;Research & Development;12;3;Technical Degree;2;Female;3;Research Director;3;Married;19545;1;No;3;4;23;0;22;15;15;8
